Date,Open,High,Low,Close,Adj Close,Volume
10/1/2015,45.380001,50.919998,42.580002,46.389999,46.389999,1151025878
11/1/2015,46.43,48.360001,38.990002,41.650002,41.650002,2859665834
12/1/2015,41.73,42.23,33.98,37.07,37.07,293690002
1/1/2016,37.599998,38.389999,26.190001,33.540001,33.540001,4867242921
2/1/2016,33.830002,34.689999,26.049999,33.75,33.75,11959964
3/1/2016,33.900002,41.900002,33.369999,38.490002,38.490002,315358909
4/1/2016,38.139999,46.779999,35.240002,45.919998,45.919998,12383923
5/1/2016,45.900002,50.209999,43.029999,49.099998,49.099998,11708681
6/1/2016,48.82,51.669998,45.830002,48.330002,48.330002,10863962
7/1/2016,48.380001,49.349998,40.57,41.599998,41.599998,9855331
8/1/2016,41.349998,48.75,39.189999,44.700001,44.700001,12064000
9/1/2016,44.849998,48.32,42.549999,48.240002,48.240002,13029632
10/1/2016,48.040001,51.93,46.630001,46.860001,46.860001,11347381
11/1/2016,46.77,49.900002,42.200001,49.439999,49.439999,14128000
12/1/2016,49.07,54.509998,48.98,53.720001,53.720001,11030474
1/1/2017,54.200001,55.240002,50.709999,52.810001,52.810001,10682148
2/1/2017,52.759998,54.939999,51.220001,54.009998,54.009998,9715204
3/1/2017,53.950001,54.439999,47.009998,50.599998,50.599998,13199894
4/1/2017,50.689999,53.759998,48.200001,49.330002,49.330002,10289042
5/1/2017,49.169998,52,43.759998,48.32,48.32,14784124
6/1/2017,48.630001,49.169998,42.049999,46.040001,46.040001,16095333
7/1/2017,46.279999,50.41,43.650002,50.169998,50.169998,15266208
8/1/2017,50.209999,50.43,45.580002,47.23,47.23,17972501
9/1/2017,47.080002,52.860001,46.560001,51.669998,51.669998,12837171
10/1/2017,51.639999,54.849998,49.099998,54.380001,54.380001,12587906
11/1/2017,54.650002,59.049999,53.889999,57.400002,57.400002,13087384
12/1/2017,57.419998,60.509998,55.82,60.419998,60.419998,9873595
1/1/2018,60.200001,66.660004,60.099998,64.730003,64.730003,13358234
2/1/2018,64.760002,66.300003,58.07,61.639999,61.639999,12729450
3/1/2018,61.549999,66.550003,59.950001,64.940002,64.940002,13059840
4/1/2018,64.910004,69.559998,61.810001,68.57,68.57,13397570
5/1/2018,68.559998,72.830002,65.919998,67.040001,67.040001,15729291
6/1/2018,67.07,74.459999,63.59,74.150002,74.150002,13628570
7/1/2018,73.620003,75.269997,67.029999,68.760002,68.760002,11389891
8/1/2018,68.43,70.5,64.43,69.800003,69.800003,10826163
9/1/2018,70.120003,73.730003,66.860001,73.25,73.25,10673802
10/1/2018,73.290001,76.900002,64.809998,65.309998,65.309998,13521457
11/1/2018,64.879997,65.389999,49.41,50.93,50.93,15784511
12/1/2018,52.450001,54.549999,42.360001,45.41,45.41,12944224
1/1/2019,45.799999,55.369999,44.349998,53.790001,53.790001,14922969
2/1/2019,54.009998,57.810001,51.23,57.220001,57.220001,11198402
3/1/2019,57.220001,60.73,54.52,60.139999,60.139999,12715337
4/1/2019,60.240002,66.599998,60.130001,63.91,63.91,14068153
5/1/2019,63.400002,63.93,53.049999,53.5,53.5,16862619
6/1/2019,53.419998,60.099998,50.599998,59.43,59.43,1351494856
7/1/2019,59.27,60.939999,54.720001,57.529999,57.529999,1089175882
8/1/2019,57.849998,57.990002,50.52,55.16,55.16,1442450962
9/1/2019,55,63.380001,52.84,54.23,54.23,5773389341
10/1/2019,54.279999,56.919998,50.990002,54.18,54.18,11751844
11/1/2019,54.150002,58.740002,54.07,55.59,55.59,676440511
12/1/2019,55.470001,62.34,0,61.060001,61.060001,3457298810
1/1/2020,61.599998,65.650002,50.970001,51.630001,51.630001,5517652662
2/1/2020,51.009998,54.5,43.849998,50.110001,50.110001,5631991636
3/1/2020,43.720001,48.66,19.27,20.48,20.48,2552700427
4/1/2020,20.1,29.129999,-40.32,18.84,18.84,23697126
5/1/2020,19.040001,35.77,18.049999,35.27,35.27,68884291
6/1/2020,35.209999,41.630001,34.27,39.27,39.27,11072721
7/1/2020,39.84,42.400002,38.540001,40.27,40.27,8591866
8/1/2020,40.389999,43.779999,39.580002,42.610001,42.610001,8719901
9/1/2020,42.830002,43.43,36.130001,40.220001,40.220001,7025110
10/1/2020,39.900002,41.700001,34.919998,35.790001,35.790001,7685767
11/1/2020,35.240002,43.060001,33.639999,41.450001,41.450001,3583218
